v,e,algoType,runtime
1603,241459,0,6684
1603,241459,1,135584
1603,337318,0,8128
1603,337318,1,203485
1603,471232,0,9233
1603,471232,1,278802
1603,658310,0,10947
1603,658310,1,397994
1603,919657,0,8955
1603,919657,1,585995
1603,1284003,0,6246
1603,1284003,1,853250
1703,1702,0,5575
1703,1702,1,17
1703,1702,0,5660
1703,1702,1,17
1703,2385,0,5278
1703,2385,1,13
1703,3342,0,5257
1703,3342,1,106
1703,4683,0,7533
1703,4683,1,103
1703,6562,0,5195
1703,6562,1,587
1703,9195,0,5093
1703,9195,1,1396
1703,12885,0,5145
1703,12885,1,2459
1703,18055,0,4832
1703,18055,1,3754
1703,25300,0,5246
1703,25300,1,7714
1703,35452,0,5115
1703,35452,1,13626
1703,49677,0,5652
1703,49677,1,20935
1703,69609,0,5747
1703,69609,1,30024
1703,97539,0,5855
1703,97539,1,47521
1703,136675,0,6322
1703,136675,1,70343
1703,191514,0,6747
1703,191514,1,100966
1703,268356,0,7427
1703,268356,1,148924
1703,376029,0,8830
1703,376029,1,218795
1703,526903,0,10258
1703,526903,1,323476
1703,738312,0,12166
1703,738312,1,464067
1703,1034545,0,10069
1703,1034545,1,656800
1703,1449253,0,7232
1703,1449253,1,969314
1803,1802,0,6186
1803,1802,1,27
1803,1802,0,6985
1803,1802,1,21
1803,2533,0,6011
1803,2533,1,18
1803,3560,0,5919
1803,3560,1,90
1803,5003,0,5941
1803,5003,1,250
1803,7031,0,5830
1803,7031,1,258
1803,9881,0,5707
1803,9881,1,1297
1803,13886,0,5642
1803,13886,1,2373
1803,19514,0,5476
1803,19514,1,4609
1803,27422,0,6196
1803,27422,1,8754
1803,38535,0,5717
1803,38535,1,13998
1803,54151,0,7002
1803,54151,1,24248
1803,76095,0,5980
1803,76095,1,34142
1803,106932,0,6389
1803,106932,1,54665
1803,150265,0,7117
1803,150265,1,74751
1803,211158,0,7596
1803,211158,1,116541
1803,296727,0,8221
1803,296727,1,174547
1803,416971,0,9763
1803,416971,1,250373
1803,585942,0,11283
1803,585942,1,370709
1803,823385,0,13742
1803,823385,1,517535
1803,1157048,0,11348
1803,1157048,1,765058
1803,1624503,0,8179
1803,1624503,1,1131193
1903,1902,0,8314
1903,1902,1,9
1903,1902,0,6632
1903,1902,1,20
1903,2680,0,9438
1903,2680,1,31
1903,3777,0,6661
1903,3777,1,152
1903,5322,0,6329
1903,5322,1,104
1903,7499,0,6569
1903,7499,1,602
1903,10567,0,6974
1903,10567,1,694
1903,14890,0,6210
1903,14890,1,3103
1903,20981,0,6792
1903,20981,1,5228
1903,29563,0,6394
1903,29563,1,11556
1903,41656,0,6407
1903,41656,1,15502
1903,58695,0,7082
1903,58695,1,24495
1903,82704,0,6818
1903,82704,1,38514
1903,116533,0,7478
1903,116533,1,55476
1903,164199,0,7618
1903,164199,1,86488
1903,231362,0,8160
1903,231362,1,130500
1903,325997,0,10007
1903,325997,1,186443
1903,459340,0,11054
1903,459340,1,283354
1903,647225,0,12746
1903,647225,1,412347
1903,911960,0,15080
1903,911960,1,612975
1903,1284980,0,12825
1903,1284980,1,899781
1903,1809753,0,9118
1903,1809753,1,1218555
3,2,0,4
3,2,1,2
3,2,0,3
3,2,1,2
3,3,0,3
3,3,1,2
3,3,0,3
3,3,1,3
103,102,0,38
103,102,1,3
103,102,0,69
103,102,1,7
103,125,0,40
103,125,1,3
103,153,0,38
103,153,1,13
103,187,0,61
103,187,1,21
103,228,0,42
103,228,1,25
103,278,0,53
103,278,1,53
103,339,0,53
103,339,1,60
103,413,0,33
103,413,1,101
103,503,0,31
103,503,1,70
103,613,0,58
103,613,1,141
103,747,0,57
103,747,1,157
103,910,0,56
103,910,1,306
103,1109,0,36
103,1109,1,450
103,1351,0,45
103,1351,1,524
103,1646,0,45
103,1646,1,720
103,2005,0,70
103,2005,1,903
103,2442,0,76
103,2442,1,870
103,2974,0,77
103,2974,1,1084
103,3622,0,72
103,3622,1,1611
103,4412,0,64
103,4412,1,2043
103,5253,0,34
103,5253,1,2164
203,202,0,190
203,202,1,15
203,202,0,192
203,202,1,5
203,255,0,193
203,255,1,10
203,322,0,97
203,322,1,21
203,406,0,178
203,406,1,20
203,512,0,177
203,512,1,49
203,646,0,166
203,646,1,83
203,814,0,164
203,814,1,195
203,1026,0,103
203,1026,1,232
203,1293,0,165
203,1293,1,255
203,1630,0,91
203,1630,1,372
203,2054,0,168
203,2054,1,780
203,2588,0,106
203,2588,1,747
203,3261,0,186
203,3261,1,1447
203,4109,0,144
203,4109,1,1648
203,5177,0,134
203,5177,1,1869
203,6523,0,146
203,6523,1,2476
203,8219,0,163
203,8219,1,3497
203,10355,0,171
203,10355,1,4264
203,13046,0,165
203,13046,1,5714
203,16437,0,141
203,16437,1,7680
203,20503,0,108
203,20503,1,9735
303,302,0,386
303,302,1,9
303,302,0,381
303,302,1,9
303,389,0,200
303,389,1,21
303,501,0,362
303,501,1,16
303,644,0,204
303,644,1,11
303,828,0,342
303,828,1,127
303,1065,0,344
303,1065,1,147
303,1369,0,189
303,1369,1,194
303,1760,0,408
303,1760,1,334
303,2263,0,338
303,2263,1,403
303,2909,0,341
303,2909,1,984
303,3740,0,255
303,3740,1,1243
303,4808,0,367
303,4808,1,1907
303,6180,0,245
303,6180,1,2213
303,7944,0,404
303,7944,1,3132
303,10211,0,302
303,10211,1,4262
303,13125,0,293
303,13125,1,5945
303,16871,0,340
303,16871,1,7029
303,21686,0,603
303,21686,1,10055
303,27875,0,372
303,27875,1,13213
303,35830,0,315
303,35830,1,17190
303,45753,0,232
303,45753,1,23066
403,402,0,647
403,402,1,9
403,402,0,647
403,402,1,10
403,525,0,630
403,525,1,24
403,685,0,614
403,685,1,56
403,894,0,377
403,894,1,59
403,1166,0,587
403,1166,1,74
403,1521,0,517
403,1521,1,145
403,1984,0,658
403,1984,1,288
403,2587,0,581
403,2587,1,507
403,3373,0,326
403,3373,1,666
403,4398,0,320
403,4398,1,1359
403,5735,0,362
403,5735,1,1786
403,7478,0,357
403,7478,1,2545
403,9750,0,371
403,9750,1,4359
403,12713,0,691
403,12713,1,4801
403,16576,0,495
403,16576,1,6849
403,21612,0,514
403,21612,1,9606
403,28178,0,565
403,28178,1,13192
403,36739,0,690
403,36739,1,17523
403,47901,0,655
403,47901,1,23584
403,62454,0,523
403,62454,1,34168
403,81003,0,440
403,81003,1,43912
503,502,0,971
503,502,1,15
503,502,0,967
503,502,1,9
503,662,0,948
503,662,1,19
503,873,0,927
503,873,1,26
503,1151,0,905
503,1151,1,38
503,1518,0,500
