n,s,keyComparison,runtime
10000,22,143901,1801
10000,23,143901,2348
10000,24,143901,1880
10000,25,143901,1884
10000,26,143901,1813
10000,27,143901,1843
10000,28,143901,2302
10000,29,143901,1859
10000,30,143901,1847
10000,31,143901,1838
10000,32,143901,1867
10000,33,143901,1819
10000,34,143901,1812
10000,35,143901,1821
10000,36,143901,1815
10000,37,143901,1863
10000,38,143901,1846
10000,39,181365,3058
10000,40,183913,2066
10000,41,183913,2151
10000,42,183913,3001
10000,43,183913,2067
10000,44,183913,2077
10000,45,183913,2101
10000,46,183913,2058
10000,47,183913,2047
10000,48,183913,2050
10000,49,183913,2033
10000,50,183913,3130
10000,51,183913,2063
10000,52,183913,2058
10000,53,183913,2091
10000,54,183913,2057
10000,55,183913,2052
10000,56,183913,2026
10000,57,183913,2321
10000,58,183913,2056
10000,59,183913,2040
10000,60,183913,2058
10000,61,183913,2206
10000,62,183913,2067
10000,63,183913,2045
10000,64,183913,2031
10000,65,183913,2062
10000,66,183913,2113
10000,67,183913,2044
10000,68,183913,2071
10000,69,183913,2050
10000,70,183913,2043
10000,71,183913,2062
10000,72,183913,2075
10000,73,183913,2681
10000,74,183913,2042
10000,75,183913,2056
10000,76,183913,2077
10000,77,183913,2075
10000,78,259663,2544
10000,79,270680,2642
10000,80,270680,3075
10000,81,270680,2796
10000,82,270680,2679
10000,83,270680,3723
10000,84,270680,2644
10000,85,270680,2640
10000,86,270680,2629
10000,87,270680,2636
10000,88,270680,2729
10000,89,270680,3060
10000,90,270680,2628
10000,91,270680,2598
10000,92,270680,3001
10000,93,270680,2699
10000,94,270680,2598
10000,95,270680,3241
10000,96,270680,2683
10000,97,270680,2624
10000,98,270680,2777
10000,99,270680,2627
10000,1,120409,2153
10000,2,120409,2038
10000,3,120457,2302
10000,4,120531,1872
10000,5,121534,1783
10000,6,121534,1801
10000,7,121534,1920
10000,8,121534,2551
10000,9,122584,1792
10000,10,127356,1744
10000,11,127356,1756
10000,12,127356,1866
10000,13,127356,2021
10000,14,127356,2362
10000,15,127356,1792
10000,16,127356,1762
10000,17,127356,1755
10000,18,127356,1793
10000,19,134805,1787
10000,20,144129,1855
10000,21,144129,1816
10000,22,144129,1798
10000,23,144129,1807
10000,24,144129,2033
10000,25,144129,2316
10000,26,144129,1833
10000,27,144129,1816
10000,28,144129,2603
10000,29,144129,1802
10000,30,144129,1820
10000,31,144129,1829
10000,32,144129,1824
10000,33,144129,1821
10000,34,144129,1837
10000,35,144129,1850
10000,36,144129,1834
10000,37,144129,1898
10000,38,144129,1825
10000,39,181340,2137
